url,score,len_url,is_https,is_private_ip,domain_age,is_sensitive_form,has_redirect,has_script,has_privacy,has_contact,age_of_domain,is_vietnam
https://chatgpt.com/,62,20,1,0,896,0,1,0,0,0,896,2
https://chatgpt.com/,66,20,1,0,896,0,1,0,0,0,896,2
https://chatgpt.com/,66,20,1,0,896,0,1,0,0,0,896,2
https://chatgpt.com/,66,20,1,0,896,0,1,0,0,0,896,2
https://tinnhiemmang.vn/,106,24,1,0,1853,0,0,0,0,0,1853,1
https://tinnhiemmang.vn/,106,24,1,0,1853,0,0,0,0,0,1853,1
https://tinnhiemmang.vn/,106,24,1,0,1853,0,0,0,0,0,1853,1
https://tinnhiemmang.vn/,106,24,1,0,1853,0,0,0,0,0,1853,1
https://chatgpt.com/,84,20,1,0,0,1,0,0,0
https://www.24h.com.vn/,95,23,1,0,0,1,1,0,0
https://whois.inet.vn/api/whois/domainspecify/24h.com.vn,95,56,1,0,0,0,0,0,0
https://www.24h.com.vn/,111,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,111,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,111,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,111,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,111,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,111,23,1,0,7688,0,1,1,0,0,7688,1
https://tinnhiemmang.vn/,106,24,1,0,1853,0,0,0,0,0,1853,1
https://tinnhiemmang.vn/,106,24,1,0,1853,0,0,0,0,0,1853,1
https://www.24h.com.vn/,111,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,111,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,111,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,111,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,111,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,111,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,111,23,1,0,7689,0,1,1,0,0,7689,1
https://www.24h.com.vn/,111,23,1,0,7689,0,1,1,0,0,7689,1
https://dantri.com.vn/,116,22,1,0,7416,0,1,0,0,1,7416,1
https://tinnhiemmang.vn/,106,24,1,0,1854,0,0,0,0,0,1854,1
https://www.24h.com.vn/,111,23,1,0,7689,0,1,1,0,0,7689,1
https://dantri.com.vn/,116,22,1,0,7418,0,1,0,0,1,7418,1
https://www.24h.com.vn/,107,23,1,0,7691,0,1,1,0,0,7691,1
https://dantri.com.vn/,116,22,1,0,7418,0,1,0,0,1,7418,1
https://www.24h.com.vn/,107,23,1,0,7691,0,1,1,0,0,7691,1
https://dantri.com.vn/,116,22,1,0,7418,0,1,0,0,1,7418,1
https://dantri.com.vn/,116,22,1,0,7420,0,1,0,0,1,7420,1
https://www.24h.com.vn/,111,23,1,0,7693,0,1,1,0,0,7693,1
https://whois.inet.vn/api/whois/domainspecify/24h.com.vn,83,56,1,0,6867,0,0,0,0,0,6867,2
https://dantri.com.vn,118,21,1,0,7420,0,1,0,0,1,7420,1
https://dantri.com.vn/,116,22,1,0,7420,0,1,0,0,1,7420,1
https://notegpt.io/workspace/home?utm_source=ng_home,82,52,1,0,774,0,0,0,0,0,774,2
https://www.24h.com.vn/,111,23,1,0,7693,0,1,1,0,0,7693,1
https://tinnhiemmang.vn/,106,24,1,0,1858,0,0,0,0,0,1858,1
http://tinnhiemmang.vn,106,22,0,0,1858,0,0,0,0,0,1858,1
https://tinnhiemmang.vn,106,23,1,0,1858,0,0,0,0,0,1858,1
https://tinnhiemmang.vn/website-lua-dao,106,39,1,0,1858,0,0,0,0,0,1858,1
http://muathecaore.net/,65,23,0,0,145,0,0,0,0,1,145,2
http://en.hanami.co.th/,62,23,0,0,0,0,0,0,0,0,0,2
http://ebayglobal.store/,100,24,0,0,135,0,0,0,0,0,135,1
http://ctygiaohangtietkiemm1.com/,65,33,0,0,213,0,0,0,0,0,213,2
https://ctygiaohangtietkiemm1.com/,65,34,1,0,213,0,0,0,0,0,213,2
https://ctygiaohangtietkiemm1.com/error.html,65,44,1,0,213,0,0,0,0,0,213,2
http://sp6708p.com/,103,19,0,0,172,0,0,0,0,0,172,1
http://tuyendungapple.com/,96,26,0,1,189,0,0,0,0,0,189,1
https://napgamex5.com/,68,22,1,1,328,0,0,0,0,0,328,2
https://kythuatdmayxanh.com/,116,28,1,0,713,0,0,0,0,0,713,1
https://vingroupfund.com,80,24,1,0,221,0,0,0,0,0,221,2
http://giaiphapmbfn-ficvn.online/,80,33,0,1,194,0,0,0,0,0,194,1
https://www.24h.com.vn/,111,23,1,0,7693,0,1,1,0,0,7693,1
https://tinnhiemmang.vn/,106,24,1,0,1861,0,0,0,0,0,1861,1
https://www.24h.com.vn/,107,23,1,0,7696,0,1,1,0,0,7696,1
https://vingroupfund.com/,80,25,1,0,224,0,0,0,0,0,224,2
https://vingroupfund.com/,80,25,1,0,224,0,0,0,0,0,224,2
https://whois.inet.vn/api/whois/domainspecify/24h.com.vn,80,56,1,0,6870,0,0,0,0,0,6870,2
https://whois.inet.vn/api/whois/domainspecify/24h.com.vn,80,56,1,1,6870,0,0,0,0,0,6870,2
https://whois.inet.vn/,80,22,1,0,6870,0,0,0,0,0,6870,2
https://whois.inet.vn/,80,22,1,0,6870,0,0,0,0,0,6870,2
https://whois.inet.vn/,80,22,1,0,6870,0,0,0,0,0,6870,2
https://whois.inet.vn/,80,22,1,0,6870,0,0,0,0,0,6870,2
https://whois.inet.vn/,80,22,1,0,6870,0,0,0,0,0,6870,2
https://whois.inet.vn/domain-circle,80,35,1,0,6870,0,0,0,0,0,6870,2
https://whois.inet.vn/domain-circle,80,35,1,0,6870,0,0,0,0,0,6870,2
https://whois.inet.vn/domain-circle,80,35,1,0,6870,0,0,0,0,0,6870,2
https://whois.inet.vn/domain-circle,80,35,1,0,6870,0,0,0,0,0,6870,2
https://whois.inet.vn/domain-circle,83,35,1,0,6870,0,0,0,0,0,6870,2
https://www.24h.com.vn/,111,23,1,0,7703,0,1,1,0,0,7703,1
https://tinnhiemmang.vn/,106,24,1,0,1868,0,0,0,0,0,1868,1
https://whois.inet.vn/api/whois/domainspecify/24h.com.vn,83,56,1,0,6877,0,0,0,0,0,6877,2
